scrape_id,query,country,name,category,address,phone,website,email,lat,lng,google_maps_url,rating,reviews_count,hours,approved,notes
"ChIJ7Xt97hsCMYgR_O_FqnUTjME","psychological counseling center Egypt","Egypt","Humanistic Counseling Center, LLC LYNDHURST","Mental health service","5555 Mayfield Rd, Lyndhurst, OH 44124","(216) 839-2273","http://www.humanisticcounselingcenter.com/","","41.5203907","-81.4794336","https://www.google.com/maps/search/?api=1&query=Humanistic%20Counseling%20Center%2C%20LLC%20LYNDHURST&query_place_id=ChIJ7Xt97hsCMYgR_O_FqnUTjME","5","1","[{""day"":""Monday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Tuesday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Wednesday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Thursday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Friday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Saturday"",""hours"":""8 AM to 9 PM""},{""day"":""Sunday"",""hours"":""9 AM to 3 PM""}]","",""
"ChIJm8zXn6cCMYgRbzgbQdU7rFo","psychological counseling center Egypt","Egypt","Progression Counseling Group","Mental health service","3681 S Green Rd UNIT 404, Beachwood, OH 44122","(216) 342-5484","http://www.progressioncg.com/","","41.460013","-81.5163537","https://www.google.com/maps/search/?api=1&query=Progression%20Counseling%20Group&query_place_id=ChIJm8zXn6cCMYgRbzgbQdU7rFo","4.5","40","[{""day"":""Monday"",""hours"":""8 AM to 8 PM""},{""day"":""Tuesday"",""hours"":""8 AM to 8 PM""},{""day"":""Wednesday"",""hours"":""8 AM to 8 PM""},{""day"":""Thursday"",""hours"":""8 AM to 8 PM""},{""day"":""Friday"",""hours"":""8 AM to 8 PM""},{""day"":""Saturday"",""hours"":""9 AM to 4 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJvcSbELXrMIgRjVxeQHol8wg","psychological counseling center Egypt","Egypt","Strongsville Psychological Services","Mental health clinic","7370 Engle Rd, Middleburg Heights, OH 44130","(440) 234-9955","http://strongsvillepsychological.com/","","41.3660475","-81.8257368","https://www.google.com/maps/search/?api=1&query=Strongsville%20Psychological%20Services&query_place_id=ChIJvcSbELXrMIgRjVxeQHol8wg","4","11","[{""day"":""Monday"",""hours"":""9 AM to 7 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 7 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 7 PM""},{""day"":""Thursday"",""hours"":""9 AM to 7 PM""},{""day"":""Friday"",""hours"":""9 AM to 5 PM""},{""day"":""Saturday"",""hours"":""9 AM to 2 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJyToEtRfnMIgR2Aofe77g2K4","psychological counseling center Egypt","Egypt","Humanistic Counseling Center, LLC BRECKSVILLE","Psychologist","8221 Brecksville Rd #104, Brecksville, OH 44141","(216) 839-2273","http://www.humanisticcounselingcenter.com/","","41.3389195","-81.6267295","https://www.google.com/maps/search/?api=1&query=Humanistic%20Counseling%20Center%2C%20LLC%20BRECKSVILLE&query_place_id=ChIJyToEtRfnMIgR2Aofe77g2K4","","","[{""day"":""Monday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Tuesday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Wednesday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Thursday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Friday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Saturday"",""hours"":""8 AM to 9 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJtS_2bUIDNIgRvBUcypKT5Uw","psychological counseling center Egypt","Egypt","The Counseling Center","Mental health clinic","40722 OH-154, Lisbon, OH 44432","(330) 424-9573","http://colmhc.org/","","40.7676342","-80.7342481","https://www.google.com/maps/search/?api=1&query=The%20Counseling%20Center&query_place_id=ChIJtS_2bUIDNIgRvBUcypKT5Uw","2.6","24","[{""day"":""Monday"",""hours"":""8 AM to 9 PM""},{""day"":""Tuesday"",""hours"":""8 AM to 9 PM""},{""day"":""Wednesday"",""hours"":""8 AM to 9 PM""},{""day"":""Thursday"",""hours"":""8 AM to 9 PM""},{""day"":""Friday"",""hours"":""8 AM to 6 PM""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJ_5BUZKKTMIgR6mhFKmm6Djg","psychological counseling center Egypt","Egypt","Humanistic Counseling Center, LLC North Olmsted","Psychologist","26777 Lorain Rd UNIT 416, North Olmsted, OH 44070","(216) 839-2273","http://www.humanisticcounselingcenter.com/","","41.4177458","-81.9179562","https://www.google.com/maps/search/?api=1&query=Humanistic%20Counseling%20Center%2C%20LLC%20North%20Olmsted&query_place_id=ChIJ_5BUZKKTMIgR6mhFKmm6Djg","1","1","[{""day"":""Monday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Tuesday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Wednesday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Thursday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Friday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Saturday"",""hours"":""8 AM to 9 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJxxM0LnYDMYgRrpgKvnlraCU","psychological counseling center Egypt","Egypt","Humanistic Counseling Center, LLC Pepper Pike","Psychologist","27600 Chagrin Blvd # 260, Beachwood, OH 44122","(216) 839-2273","http://www.hcccares.com/","","41.461871","-81.4835039","https://www.google.com/maps/search/?api=1&query=Humanistic%20Counseling%20Center%2C%20LLC%20Pepper%20Pike&query_place_id=ChIJxxM0LnYDMYgRrpgKvnlraCU","","","[{""day"":""Monday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Tuesday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Wednesday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Thursday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Friday"",""hours"":""7:30 AM to 9 PM""},{""day"":""Saturday"",""hours"":""8 AM to 9 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJh8EH8MzBMIgRB6x9CuG1aJs","psychological counseling center Egypt","Egypt","Unleashed Psychotherapy","Mental health service","51 W 130th St Suite C4, Hinckley, OH 44233","(330) 667-0377","http://unleashyourtherapy.com/","","41.2750503","-81.7844227","https://www.google.com/maps/search/?api=1&query=Unleashed%20Psychotherapy&query_place_id=ChIJh8EH8MzBMIgRB6x9CuG1aJs","3.9","11","[{""day"":""Monday"",""hours"":""8 AM to 8 PM""},{""day"":""Tuesday"",""hours"":""8 AM to 8 PM""},{""day"":""Wednesday"",""hours"":""8 AM to 8 PM""},{""day"":""Thursday"",""hours"":""8 AM to 8 PM""},{""day"":""Friday"",""hours"":""8 AM to 8 PM""},{""day"":""Saturday"",""hours"":""8 AM to 8 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJMVTZ_S_BMIgRJHx5N7x8ATQ","psychological counseling center Egypt","Egypt","Humanistic Counseling Center, LLC BRUNSWICK","Mental health service","3624, 3487 Center Rd #7c, Brunswick, OH 44212","(216) 839-2273","http://www.humanisticcounselingcenter.com/","","41.2391557","-81.8117573","https://www.google.com/maps/search/?api=1&query=Humanistic%20Counseling%20Center%2C%20LLC%20BRUNSWICK&query_place_id=ChIJMVTZ_S_BMIgRJHx5N7x8ATQ","","","[{""day"":""Monday"",""hours"":""9 AM to 5 PM""},{""day"":""Tuesday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Wednesday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Thursday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Friday"",""hours"":""7:30 AM to 9:30 PM""},{""day"":""Saturday"",""hours"":""8 AM to 9 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJM-vYT3ocMYgRr3WTl_SwXhg","psychological counseling center Egypt","Egypt","Organization For Psychological","Psychologist","34305 Solon Rd, Cleveland, OH 44139","(440) 349-3038","http://oph-psych.org/","","41.3938234","-81.4352378","https://www.google.com/maps/search/?api=1&query=Organization%20For%20Psychological&query_place_id=ChIJM-vYT3ocMYgRr3WTl_SwXhg","5","1","[]","",""
"ChIJQc6gAmnAM4gRC0hnO9Xtuwg","psychological counseling center Egypt","Egypt","Psychological Counseling & Consulting Service","Psychologist","40 Cohassett Dr, Hermitage, PA 16148","(724) 346-5220","http://psychcounseling.net/","","41.233868","-80.4737529","https://www.google.com/maps/search/?api=1&query=Psychological%20Counseling%20%26%20Consulting%20Service&query_place_id=ChIJQc6gAmnAM4gRC0hnO9Xtuwg","2.4","16","[{""day"":""Monday"",""hours"":""9 AM to 7 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 7 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 7 PM""},{""day"":""Thursday"",""hours"":""9 AM to 7 PM""},{""day"":""Friday"",""hours"":""9 AM to 5 PM""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJM7KonQeEa4cRmvkk2MIq-zs","mental health hotline crisis helpline Egypt","Egypt","Walk In Crisis Center @ Jefferson Center for Mental Health","Mental health service","4643 Wadsworth Blvd, Wheat Ridge, CO 80033","(303) 425-0300","https://www.jcmh.org/","","39.7807375","-105.0819087","https://www.google.com/maps/search/?api=1&query=Walk%20In%20Crisis%20Center%20%40%20Jefferson%20Center%20for%20Mental%20Health&query_place_id=ChIJM7KonQeEa4cRmvkk2MIq-zs","2.6","62","[{""day"":""Monday"",""hours"":""Open 24 hours""},{""day"":""Tuesday"",""hours"":""Open 24 hours""},{""day"":""Wednesday"",""hours"":""Open 24 hours""},{""day"":""Thursday"",""hours"":""Open 24 hours""},{""day"":""Friday"",""hours"":""Open 24 hours""},{""day"":""Saturday"",""hours"":""Open 24 hours""},{""day"":""Sunday"",""hours"":""Open 24 hours""}]","",""
"ChIJhR-NnZfNwoARu98AnYf1zBc","NGO mental health Iran","Iran","Iranian Psychological Association of America","Association / Organization","8221 3rd St #301, Downey, CA 90241","(310) 499-5622","","","33.9425587","-118.1328112","https://www.google.com/maps/search/?api=1&query=Iranian%20Psychological%20Association%20of%20America&query_place_id=ChIJhR-NnZfNwoARu98AnYf1zBc","5","1","[{""day"":""Monday"",""hours"":""9 AM to 5 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 5 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 5 PM""},{""day"":""Thursday"",""hours"":""9 AM to 5 PM""},{""day"":""Friday"",""hours"":""9 AM to 5 PM""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJWSTieyd-j4ARCTSk6iqsdg0","mental health hotline crisis helpline Iran","Iran","Mobile Crisis","Mental health service","1380 Howard St, San Francisco, CA 94103","(628) 217-7000","https://www.sf.gov/information/get-help-mental-health-or-substance-use","","37.7743452","-122.4142478","https://www.google.com/maps/search/?api=1&query=Mobile%20Crisis&query_place_id=ChIJWSTieyd-j4ARCTSk6iqsdg0","2","11","[{""day"":""Monday"",""hours"":""Open 24 hours""},{""day"":""Tuesday"",""hours"":""Open 24 hours""},{""day"":""Wednesday"",""hours"":""Open 24 hours""},{""day"":""Thursday"",""hours"":""Open 24 hours""},{""day"":""Friday"",""hours"":""Open 24 hours""},{""day"":""Saturday"",""hours"":""Open 24 hours""},{""day"":""Sunday"",""hours"":""Open 24 hours""}]","",""
"ChIJxVrB3EDln64R8JtTH3bfPlg","mental health hotline crisis helpline Iran","Iran","Crisis Stabilization Unit at Willow Rock","Mental health service","2050 Fairmont Dr Bldgs. A & B, San Leandro, CA 94578","(510) 483-3030","","","37.709509","-122.118468","https://www.google.com/maps/search/?api=1&query=Crisis%20Stabilization%20Unit%20at%20Willow%20Rock&query_place_id=ChIJxVrB3EDln64R8JtTH3bfPlg","5","3","[{""day"":""Monday"",""hours"":""Open 24 hours""},{""day"":""Tuesday"",""hours"":""Open 24 hours""},{""day"":""Wednesday"",""hours"":""Open 24 hours""},{""day"":""Thursday"",""hours"":""Open 24 hours""},{""day"":""Friday"",""hours"":""Open 24 hours""},{""day"":""Saturday"",""hours"":""Open 24 hours""},{""day"":""Sunday"",""hours"":""Open 24 hours""}]","",""
"ChIJXXFnOXllhYAR3lK4NIbd1Ic","mental health hotline crisis helpline Iran","Iran","Mental Health Crisis Services","Crisis center","2500 Alhambra Ave, Martinez, CA 94553","(925) 646-2800","","","38.006764","-122.1327937","https://www.google.com/maps/search/?api=1&query=Mental%20Health%20Crisis%20Services&query_place_id=ChIJXXFnOXllhYAR3lK4NIbd1Ic","2.8","6","[]","",""
"ChIJe2CPlwlIhIARLFX6N3Va0Jc","mental health hotline crisis helpline Iran","Iran","Inresponse Mental Health Support Team","Medical clinic","983 Sonoma Ave, Santa Rosa, CA 95404","(707) 575-4357","https://www.srcity.org/3627/inRESPONSE-Mental-Health-Support-Team","","38.4406432","-122.7024806","https://www.google.com/maps/search/?api=1&query=Inresponse%20Mental%20Health%20Support%20Team&query_place_id=ChIJe2CPlwlIhIARLFX6N3Va0Jc","2.7","7","[{""day"":""Monday"",""hours"":""Open 24 hours""},{""day"":""Tuesday"",""hours"":""Open 24 hours""},{""day"":""Wednesday"",""hours"":""Open 24 hours""},{""day"":""Thursday"",""hours"":""Open 24 hours""},{""day"":""Friday"",""hours"":""Open 24 hours""},{""day"":""Saturday"",""hours"":""Open 24 hours""},{""day"":""Sunday"",""hours"":""Open 24 hours""}]","",""
"ChIJe-0pHWwUhYARmHo2jGeLDfk","mental health hotline crisis helpline Iran","Iran","Mental Health Crisis Services","Mental health service","2101 Courage Dr, Fairfield, CA 94533","(707) 428-1131","","","38.2366157","-122.0677167","https://www.google.com/maps/search/?api=1&query=Mental%20Health%20Crisis%20Services&query_place_id=ChIJe-0pHWwUhYARmHo2jGeLDfk","1.7","6","[{""day"":""Monday"",""hours"":""Open 24 hours""},{""day"":""Tuesday"",""hours"":""Open 24 hours""},{""day"":""Wednesday"",""hours"":""Open 24 hours""},{""day"":""Thursday"",""hours"":""Open 24 hours""},{""day"":""Friday"",""hours"":""Open 24 hours""},{""day"":""Saturday"",""hours"":""Open 24 hours""},{""day"":""Sunday"",""hours"":""Open 24 hours""}]","",""
"ChIJjUQzQj7QmoARcPVAC0hhQhg","mental health hotline crisis helpline Iran","Iran","Crisis Residential Program (CRP)","Mental health service","4801 34th St, Sacramento, CA 95820","(916) 737-9202","http://www.tpcp.org/CRP","","38.5316625","-121.4703273","https://www.google.com/maps/search/?api=1&query=Crisis%20Residential%20Program%20(CRP)&query_place_id=ChIJjUQzQj7QmoARcPVAC0hhQhg","3.7","15","[{""day"":""Monday"",""hours"":""Open 24 hours""},{""day"":""Tuesday"",""hours"":""Open 24 hours""},{""day"":""Wednesday"",""hours"":""Open 24 hours""},{""day"":""Thursday"",""hours"":""Open 24 hours""},{""day"":""Friday"",""hours"":""Open 24 hours""},{""day"":""Saturday"",""hours"":""Open 24 hours""},{""day"":""Sunday"",""hours"":""Open 24 hours""}]","",""
"ChIJAQAAAON9hYARIMVmejc-syQ","mental health hotline crisis helpline Iran","Iran","Crisis Support Services of Alameda County","Non-profit organization","","(800) 309-2131","http://www.crisissupport.org/","","37.801843","-122.2052322","https://www.google.com/maps/search/?api=1&query=Crisis%20Support%20Services%20of%20Alameda%20County&query_place_id=ChIJAQAAAON9hYARIMVmejc-syQ","4.4","5","[]","",""
"ChIJqRQy1_GBVxURXG7RAVlFgYQ","NGO mental health Iraq","Iraq","Iraq Health Access Organization","Non-governmental organization","8C29+6MH, Baghdad, Baghdad Governorate, Iraq","+964 771 056 5766","https://iraqhao.org/","","33.3005714","44.4192352","https://www.google.com/maps/search/?api=1&query=Iraq%20Health%20Access%20Organization&query_place_id=ChIJqRQy1_GBVxURXG7RAVlFgYQ","4.6","5","[{""day"":""Monday"",""hours"":""9 AM to 3 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 3 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 3 PM""},{""day"":""Thursday"",""hours"":""9 AM to 3 PM""},{""day"":""Friday"",""hours"":""Closed""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""9 AM to 3 PM""}]","",""
"ChIJXzviqgcjB0AR9pJV04xq4P8","NGO mental health Iraq","Iraq","Psychological Support","Mental health service","Koya St, Erbil, Erbil Governorate, 44001, Iraq","+964 751 995 6270","https://heylink.me/PsychologicaLSupport","","36.1973731","44.0645079","https://www.google.com/maps/search/?api=1&query=Psychological%20Support&query_place_id=ChIJXzviqgcjB0AR9pJV04xq4P8","4.7","17","[{""day"":""Monday"",""hours"":""1 to 10 PM""},{""day"":""Tuesday"",""hours"":""1 to 10 PM""},{""day"":""Wednesday"",""hours"":""1 to 10 PM""},{""day"":""Thursday"",""hours"":""Closed""},{""day"":""Friday"",""hours"":""Closed""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""1 to 10 PM""}]","",""
"ChIJIZMKIPAjB0ARbKs1fKLTIe0","NGO mental health Iraq","Iraq","Nihan organization","Non-profit organization","opposite Media High School, Erbil, Erbil Governorate, 44001, Iraq","+964 751 554 7565","http://www.nihan.ngo/","","36.1904507","43.9987482","https://www.google.com/maps/search/?api=1&query=Nihan%20organization&query_place_id=ChIJIZMKIPAjB0ARbKs1fKLTIe0","5","1","[{""day"":""Monday"",""hours"":""8 AM to 5 PM""},{""day"":""Tuesday"",""hours"":""8 AM to 5 PM""},{""day"":""Wednesday"",""hours"":""8 AM to 5 PM""},{""day"":""Thursday"",""hours"":""8 AM to 5 PM""},{""day"":""Friday"",""hours"":""Closed""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""8 AM to 5 PM""}]","",""
"ChIJsUT1IQYjB0AR9yIDSQU4siI","NGO mental health Iraq","Iraq","Jiyan Foundation for Human Rights","Non-profit organization","104 Mhata 104 Zaniary Quarter, Erbil, 44001, Iraq","+964 66 264 7979","http://www.jiyan.org/","","36.1793326","44.0069608","https://www.google.com/maps/search/?api=1&query=Jiyan%20Foundation%20for%20Human%20Rights&query_place_id=ChIJsUT1IQYjB0AR9yIDSQU4siI","4.3","21","[{""day"":""Monday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Tuesday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Wednesday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Thursday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Friday"",""hours"":""Closed""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""8:30 AM to 4:30 PM""}]","",""
"ChIJlwhNM38uAEARLCD13x16z9U","NGO mental health Iraq","Iraq","Jiyan Foundation for Human Rights","Non-profit organization","Rzgari taza 412, House 10, 98, Sulaymaniyah, 46001, Iraq","+964 771 013 6137","http://www.jiyan-foundation.org/","","35.5605983","45.3940167","https://www.google.com/maps/search/?api=1&query=Jiyan%20Foundation%20for%20Human%20Rights&query_place_id=ChIJlwhNM38uAEARLCD13x16z9U","4.3","12","[{""day"":""Monday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Tuesday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Wednesday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Thursday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Friday"",""hours"":""Closed""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""8:30 AM to 4:30 PM""}]","",""
"ChIJwZxbdRObVxURhzoFwScsnKM","mental health hotline crisis helpline Iraq","Iraq","Hospital mental illness","Hospital","9FMW+JCC, Baghdad, Baghdad Governorate, Iraq","","","","33.3840612","44.4960141","https://www.google.com/maps/search/?api=1&query=Hospital%20mental%20illness&query_place_id=ChIJwZxbdRObVxURhzoFwScsnKM","4.3","7","[]","",""
